x_byte0,x_byte1,y_byte0,y_byte1,dac1,dac2
208,8,130,79,184,184
234,8,187,79,184,184
136,8,90,79,185,185
150,8,121,79,186,186
180,8,102,79,187,187
182,8,24,79,188,188
84,8,6,79,189,189
86,8,7,79,189,189
112,8,32,79,189,189
114,8,35,79,190,190
114,8,35,79,190,190
17,8,196,78,191,191
16,8,197,78,191,191
58,8,236,78,191,191
62,8,238,78,192,192
222,9,140,78,193,193
237,9,186,78,193,193
230,9,179,78,193,193
136,9,167,78,194,194
130,9,95,78,194,194
166,9,117,78,195,195
69,9,18,78,196,196
81,9,15,78,196,196
108,9,59,78,197,197
124,9,41,78,197,197
112,9,44,78,198,198
112,9,45,78,198,198
29,9,203,65,198,198
31,9,203,65,199,199
61,9,234,65,200,200
194,6,155,65,200,200
218,6,150,65,200,200
220,6,136,65,201,201
235,6,132,65,201,201
248,6,182,65,202,202
152,0,0,0,202,202
134,6,84,65,203,203
134,6,84,65,203,203
150,6,64,65,203,203
180,6,110,65,204,204
83,6,15,65,205,205
108,6,56,65,205,205
96,6,59,65,206,206
117,6,34,65,206,206
14,6,221,64,207,207
40,6,198,64,207,207
41,6,199,64,207,207
55,6,227,64,208,208
221,7,142,64,209,209
213,7,184,64,210,210
254,7,164,64,210,210
241,7,166,64,211,211
145,7,66,64,212,212
191,7,96,64,213,213
91,7,14,64,214,214
92,7,14,64,214,214
123,7,42,64,215,215
12,7,218,67,215,215
26,7,202,67,216,216
20,7,196,67,216,216
49,7,227,67,217,217
195,4,151,67,218,218
239,4,178,67,218,218
140,4,93,67,219,219
141,4,95,67,219,219
169,4,124,67,220,220
172,4,127,67,221,221
187,4,106,67,221,221
74,4,28,67,222,222
104,4,56,67,222,222
106,4,58,67,223,223
106,4,59,67,223,223
123,4,52,67,223,223
8,4,217,66,224,224
22,4,249,66,225,225
55,4,239,66,226,226
199,5,145,66,226,226
212,5,143,66,226,226
228,5,189,66,227,227
131,5,91,66,228,228
152,5,80,66,228,228
186,5,115,66,229,229
189,5,118,66,230,230
90,5,20,66,230,230
91,5,21,66,231,231
120,5,49,66,231,231
25,5,208,69,233,233
152,0,0,241,233,233
36,5,252,69,234,234
37,5,254,69,234,234
196,2,158,69,235,235
196,2,158,69,235,235
226,2,184,69,236,236
225,2,184,69,236,236
139,2,163,69,236,236
128,2,89,69,237,237
172,2,68,69,238,238
167,2,127,69,238,238
183,2,111,69,238,238
74,2,100,69,239,239
91,2,20,69,239,239
104,2,1,69,240,240
104,2,1,69,240,240
114,2,41,69,240,240
116,2,44,69,241,241
31,2,205,68,241,241
17,2,207,68,242,242
60,2,236,68,242,242
60,2,237,68,243,243
223,3,139,68,244,244
208,3,139,68,244,244
230,3,179,68,244,244
248,3,169,68,245,245
153,3,84,68,246,246
153,3,84,68,246,246
166,3,117,68,247,247
85,3,1,68,248,248
114,3,46,68,249,249
12,3,217,71,249,249
31,3,206,71,250,250
20,3,194,71,250,250
61,3,235,71,251,251
200,0,229,71,251,251
204,0,153,71,252,252
215,0,132,71,252,252
243,0,161,71,253,253
149,0,65,71,254,254
175,0,123,71,255,255
179,0,109,71,254,254
180,0,110,71,254,254
95,0,11,71,254,254
81,0,14,71,253,253
179,0,110,71,252,252
149,0,67,71,251,251
254,0,170,71,250,250
238,0,186,71,250,250
235,0,184,71,249,249
223,0,142,71,249,249
60,3,238,71,248,248
33,3,255,71,248,248
25,3,203,71,247,247
1,3,208,71,247,247
103,3,53,68,246,246
102,3,51,68,246,246
99,3,48,68,245,245
89,3,23,68,245,245
71,3,19,68,244,244
186,3,106,68,244,244
167,3,116,68,243,243
167,3,115,68,243,243
155,3,86,68,242,242
154,3,86,68,242,242
251,3,169,68,241,241
211,3,128,68,241,241
223,3,139,68,240,240
46,2,253,68,239,239
3,2,221,68,238,238
103,2,62,69,237,237
110,2,3,69,237,237
107,2,0,69,236,236
152,0,0,202,236,236
76,2,100,69,236,236
162,2,120,69,235,235
174,2,69,69,234,234
172,2,69,69,234,234
129,2,89,69,233,233
228,2,188,69,233,233
225,2,185,69,232,232
209,2,136,69,232,232
194,2,157,69,231,231
37,5,255,69,230,230
27,5,209,69,229,229
26,5,209,69,229,229
121,5,51,66,228,228
109,5,56,66,228,228
80,5,23,66,228,228
93,5,21,66,227,227
78,5,28,66,227,227
148,5,77,66,226,226
152,0,0,0,226,226
128,5,88,66,225,225
245,5,174,66,225,225
243,5,171,66,224,224
249,5,178,66,224,224
234,5,131,66,224,224
214,5,129,66,223,223
220,5,149,66,223,223
202,5,227,66,223,223
200,5,226,66,222,222
43,4,251,66,222,222
9,4,218,66,220,220
8,4,218,66,220,220
108,4,62,67,220,220
107,4,60,67,219,219
106,4,59,67,219,219
78,4,16,67,219,219
75,4,30,67,218,218
174,4,112,67,217,217
129,4,83,67,217,217
128,4,83,67,216,216
224,4,181,67,215,215
208,4,187,67,215,215
196,4,136,67,215,215
51,7,156,67,214,214
39,7,233,67,213,213
18,7,197,67,213,213
28,7,204,67,213,213
126,7,33,64,212,212
123,7,44,64,211,211
93,7,1,64,211,211
76,7,29,64,210,210
176,7,97,64,210,210
176,7,97,64,209,209
176,7,96,64,209,209
148,7,120,64,209,209
145,7,67,64,208,208
145,7,67,64,208,208
129,7,83,64,208,208
242,7,166,64,207,207
214,7,185,64,207,207
214,7,134,64,206,206
203,7,230,64,205,205
204,7,231,64,205,205
32,6,253,64,205,205
27,6,201,64,204,204
117,6,33,65,203,203
111,6,59,65,202,202
70,6,19,65,202,202
178,6,110,65,201,201
167,6,115,65,201,201
165,6,114,65,200,200
154,6,74,65,200,200
153,6,73,65,200,200
251,6,172,65,199,199
249,6,169,65,198,198
248,6,183,65,198,198
218,6,138,65,197,197
207,6,157,65,197,197
62,9,234,65,196,196
18,9,192,65,196,196
31,9,204,65,195,195
152,0,0,55,195,195
113,9,46,78,194,194
83,9,2,78,193,193
78,9,30,78,193,193
164,9,115,78,192,192
150,9,71,78,192,192
134,9,84,78,191,191
235,9,186,78,190,190
211,9,129,78,190,190
52,8,228,78,189,189
48,8,239,78,188,188
20,8,198,78,188,188
18,8,197,78,187,187
115,8,36,79,186,186
105,8,57,79,186,186
86,8,7,79,185,185
85,8,56,79,185,185
68,8,23,79,185,185
152,0,0,146,184,184
182,8,26,79,184,184
170,8,124,79,183,183
169,8,123,79,183,183
142,8,95,79,183,183
241,8,163,79,182,182
225,8,178,79,182,182
221,8,140,79,181,181
54,11,230,79,180,180
63,11,239,79,180,180
26,11,200,79,179,179
5,11,212,79,178,178
120,11,43,76,178,178
102,11,40,76,177,177
90,11,11,76,176,176
186,11,109,76,176,176
170,11,116,76,175,175
158,11,64,76,174,174
142,11,84,76,174,174
244,11,163,76,174,174
243,11,174,76,173,173
212,11,143,76,172,172
54,10,227,76,171,171
36,10,243,76,171,171
7,10,212,76,170,170
14,10,219,76,170,170
101,10,50,77,169,169
91,10,8,77,168,168
70,10,20,77,168,168
64,10,30,77,168,168
77,10,28,77,167,167
163,10,113,77,167,167
160,10,126,77,166,166
152,10,82,77,166,166
134,10,81,77,166,166
132,10,95,77,165,165
230,10,177,77,164,164
152,0,0,21,164,164
199,10,149,77,163,163
57,13,246,77,162,162
31,13,206,77,162,162
27,13,200,77,161,161
0,13,222,77,161,161
125,13,42,74,160,160
125,13,43,74,160,160
68,13,19,74,159,159
177,13,110,74,158,158
167,13,118,74,158,158
150,13,122,74,158,158
245,13,88,74,157,157
244,13,167,74,156,156
232,13,190,74,156,156
201,13,144,74,155,155
200,13,157,74,154,154
33,12,236,74,154,154
40,12,240,74,153,153
41,12,255,74,153,153
11,12,210,74,153,153
108,12,51,75,151,151
107,12,50,75,151,151
78,12,22,75,150,150
190,12,101,75,150,150
161,12,104,75,150,150
161,12,119,75,149,149
152,12,77,75,149,149
244,12,89,75,148,148
213,12,189,75,147,147
62,15,228,75,146,146
21,15,252,75,145,145
31,15,197,75,145,145
29,15,194,75,144,144
112,15,218,75,144,144
127,15,217,75,144,144
80,15,56,72,142,142
80,15,7,72,142,142
152,0,0,244,142,142
182,15,103,72,141,141
170,15,122,72,141,141
150,15,71,72,140,140
150,15,71,72,140,140
136,15,91,72,139,139
136,15,89,72,139,139
235,15,187,72,138,138
59,14,237,72,137,137
44,14,240,72,136,136
29,14,199,72,136,136
2,14,200,72,136,136
0,14,215,72,135,135
122,14,35,73,135,135
98,14,55,73,135,135
97,14,52,73,134,134
89,14,10,73,134,134
71,14,9,73,133,133
178,14,102,73,133,133
187,14,108,73,133,133
184,14,105,73,132,132
154,14,75,73,132,132
136,14,90,73,131,131
252,14,174,73,130,130
251,14,174,73,130,130
222,14,128,73,129,129
49,241,225,73,128,128
23,241,248,73,128,128
20,241,196,73,127,127
10,241,219,73,127,127
15,241,1,182,126,126
27,241,99,182,125,125
118,241,125,182,125,125
83,241,92,182,124,124
82,241,91,182,124,124
180,241,189,182,123,123
150,241,144,182,122,122
148,241,157,182,121,121
136,241,242,182,121,121
246,241,241,182,121,121
245,241,255,182,120,120
234,241,212,182,120,120
214,241,211,182,119,119
55,240,51,183,118,118
43,240,20,183,117,117
14,240,119,183,116,116
13,240,117,183,116,116
97,240,75,183,116,116
108,240,73,183,115,115
94,240,94,183,115,115
152,0,0,120,114,114
187,240,187,183,114,114
165,240,129,183,114,114
146,240,148,183,113,113
